                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.92846,                 0.5537,                 1.0469,                0.84731,                0.85712,                0.90761,                0.67916,                0.89192,                0.56706,                 1.0059,               0.003763,               0.003763,               0.003763
                     65,                0.91822,                0.55548,                 1.0486,                0.83412,                0.87107,                0.90671,                0.67649,                0.88837,                 0.5593,                  1.002,               0.003664,               0.003664,               0.003664
                     66,                0.91374,                0.55686,                 1.0502,                 0.8561,                 0.8534,                0.90564,                0.68018,                0.89067,                0.56717,                 1.0017,               0.003565,               0.003565,               0.003565
                     67,                0.90857,                0.55012,                 1.0525,                0.85594,                0.87428,                0.91162,                0.67953,                0.90085,                0.56818,                 1.0047,               0.003466,               0.003466,               0.003466
                     68,                0.90939,                0.54906,                 1.0508,                0.87143,                0.85697,                0.91422,                0.68198,                0.90287,                0.56012,                 1.0052,               0.003367,               0.003367,               0.003367
                     69,                0.91586,                0.54624,                 1.0447,                0.83962,                 0.8906,                0.91006,                0.67913,                0.90749,                0.55911,                 1.0109,               0.003268,               0.003268,               0.003268
                     70,                0.90107,                0.53816,                 1.0422,                0.85702,                0.86835,                0.90381,                  0.674,                0.90161,                0.57501,                 1.0019,               0.003169,               0.003169,               0.003169
                     71,                0.88657,                0.53916,                 1.0358,                0.85542,                0.88098,                0.91351,                0.67818,                0.89887,                0.54488,                 1.0127,                0.00307,                0.00307,                0.00307
                     72,                0.87988,                0.52725,                 1.0337,                0.83948,                0.87855,                0.90564,                0.67569,                0.89889,                0.55832,                 1.0039,               0.002971,               0.002971,               0.002971
                     73,                0.88277,                0.53541,                 1.0459,                0.83375,                0.85711,                0.89261,                0.66258,                0.91196,                0.58301,                 1.0071,               0.002872,               0.002872,               0.002872
                     74,                0.88775,                  0.525,                 1.0376,                 0.8333,                0.87886,                0.90576,                0.68091,                 0.8957,                0.55146,                 1.0008,               0.002773,               0.002773,               0.002773
                     75,                0.88356,                0.52885,                 1.0455,                0.85333,                0.86576,                0.90958,                0.68608,                0.88417,                0.53873,                 1.0025,               0.002674,               0.002674,               0.002674
                     76,                0.87738,                0.53022,                 1.0297,                0.85819,                0.86947,                0.91487,                0.68972,                0.87855,                0.54223,                0.99801,               0.002575,               0.002575,               0.002575
                     77,                 0.8788,                0.52462,                  1.029,                0.87969,                0.85737,                0.91553,                0.68858,                0.90231,                0.55274,                 1.0066,               0.002476,               0.002476,               0.002476
                     78,                0.87412,                0.52126,                 1.0294,                0.84412,                0.88284,                0.90997,                0.68352,                0.89293,                0.55014,                 1.0041,               0.002377,               0.002377,               0.002377
                     79,                0.87245,                0.51887,                 1.0336,                0.87247,                0.85674,                0.90509,                0.68366,                0.88618,                 0.5463,                0.99809,               0.002278,               0.002278,               0.002278
                     80,                0.86353,                0.51463,                 1.0296,                0.88289,                  0.847,                 0.9124,                0.68769,                0.90179,                0.55563,                 1.0077,               0.002179,               0.002179,               0.002179
                     81,                0.85604,                0.50962,                 1.0212,                0.86823,                0.86272,                0.90904,                0.68146,                 0.9053,                0.54699,                 1.0132,                0.00208,                0.00208,                0.00208
                     82,                0.82836,                0.49962,                 1.0094,                0.85588,                0.85494,                0.90434,                0.68004,                0.88668,                0.56111,                 1.0072,               0.001981,               0.001981,               0.001981
                     83,                0.86175,                0.50356,                 1.0251,                0.86112,                0.85898,                0.90708,                0.68612,                0.88978,                0.55537,                 1.0044,               0.001882,               0.001882,               0.001882
                     84,                0.84395,                0.49917,                 1.0229,                0.84915,                0.87065,                0.90657,                 0.6872,                0.87923,                0.53707,                  1.001,               0.001783,               0.001783,               0.001783
                     85,                0.84333,                0.49284,                 1.0234,                0.83949,                0.88333,                0.90845,                0.68517,                0.88754,                  0.547,                 1.0034,               0.001684,               0.001684,               0.001684
                     86,                0.83664,                0.48798,                 1.0211,                0.88119,                0.85353,                0.91146,                0.68827,                0.87548,                0.54113,                0.99905,               0.001585,               0.001585,               0.001585
